id,name,town,region,country,marketSegment,tripadvisorRank,latitude,longitude,officialWebsite,policyPage,bookingCom,dataSource,taxCount,feeCount,resortFee,parkingFee,childrenFreeAge,adultCharge,damageDeposit,scrapedAt,scrapingNotes
canada-banff-fairmont-banff-springs,Fairmont Banff Springs,Banff,Alberta,Canada,Luxury,1,51.1679,-115.5595,https://www.fairmont.com/banff-springs/,https://permalink.fairmont.com/booking/select?dateIn=2025-12-22&lengthOfStayValue=1&client=aem.fairmont&product%5B0%5D%5BadultNumber%5D=2&languageCode=en&hotelCodes=A550,,official,0,1,,$35,,,,2025-12-22T22:05:16Z,
canada-banff-rimrock-resort-hotel,Rimrock Resort Hotel,Banff,Alberta,Canada,Upscale,2,51.1546,-115.5856,https://www.rimrockresort.com/,https://www.rimrockresort.com/faqs/,,official,0,0,,,,,,2025-12-22T22:05:54Z,No taxes or fees found on policy page
canada-banff-moose-hotel-and-suites,Moose Hotel and Suites,Banff,Alberta,Canada,Upscale,3,51.1762,-115.5708,https://www.banffmoosehotel.com/,https://www.booking.com/hotel/ca/moose-and-suites.en-gb.html?aid=304142&label=mkt123sc-409007e3-0c34-421e-8748-6e066a0149de&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=ac6b4c92d14677abe059153a32418806&srepoch=1766441242&from=searchresults,https://www.booking.com/hotel/ca/moose-and-suites.en-gb.html?aid=304142&label=mkt123sc-409007e3-0c34-421e-8748-6e066a0149de&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=ac6b4c92d14677abe059153a32418806&srepoch=1766441242&from=searchresults,booking.com,0,0,,,,,,2025-12-22T22:07:40Z,Data sourced from Booking.com listing
canada-banff-the-juniper-hotel,The Juniper Hotel,Banff,Alberta,Canada,Upper-Midscale,4,51.1891,-115.5543,https://thejuniper.com/,https://www.booking.com/hotel/ca/the-juniper-bistro.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCHnNlYXJjaF90aGUganVuaXBlciBob3RlbCBiYW5mZkgzWARoJ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC_4KnygbAAgHSAiQ1OWM5YzBlYy1mYWE5LTRkY2ItYTNiZi01NzYxMGY2ZmFkMmHYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=42cc9bbfe9d40225&srepoch=1766441345&from=searchresults,https://www.booking.com/hotel/ca/the-juniper-bistro.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCHnNlYXJjaF90aGUganVuaXBlciBob3RlbCBiYW5mZkgzWARoJ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC_4KnygbAAgHSAiQ1OWM5YzBlYy1mYWE5LTRkY2ItYTNiZi01NzYxMGY2ZmFkMmHYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=42cc9bbfe9d40225&srepoch=1766441345&from=searchresults,booking.com,0,0,,,,,,2025-12-22T22:09:23Z,Data sourced from Booking.com listing
canada-banff-banff-aspen-lodge,Banff Aspen Lodge,Banff,Alberta,Canada,Upper-Midscale,5,51.1754,-115.5702,https://www.banffaspenlodge.com/,https://www.banffaspenlodge.com/terms-and-conditions,,official,0,0,,,,,,2025-12-22T22:10:45Z,No taxes or fees found on policy page
canada-banff-mount-royal-hotel,Mount Royal Hotel,Banff,Alberta,Canada,Upper-Midscale,6,51.1784,-115.5708,https://www.banffmountroyalhotel.com/,https://www.booking.com/hotel/ca/mount-royal-banff.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCHnNlYXJjaF9tb3VudCByb3lhbCBob3RlbCBiYW5mZkgzWARoJ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCsoSnygbAAgHSAiQ0ZTQ5YTAwYi0zOTVlLTQwNjMtYjUzNC0zYTY2YjQ5NTcyZmTYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=03ce9c1984ab00f0&srepoch=1766441525&from=searchresults,https://www.booking.com/hotel/ca/mount-royal-banff.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCHnNlYXJjaF9tb3VudCByb3lhbCBob3RlbCBiYW5mZkgzWARoJ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCsoSnygbAAgHSAiQ0ZTQ5YTAwYi0zOTVlLTQwNjMtYjUzNC0zYTY2YjQ5NTcyZmTYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=03ce9c1984ab00f0&srepoch=1766441525&from=searchresults,booking.com,0,0,,,,,,2025-12-22T22:12:22Z,Data sourced from Booking.com listing
canada-banff-elk-avenue-hotel,Elk + Avenue Hotel,Banff,Alberta,Canada,Midscale,7,51.1778,-115.5712,https://www.bestofbanff.com/elk-avenue/,https://www.booking.com/hotel/ca/banff-international.en-gb.html?aid=304142&label=mkt123sc-44d7f539-d4d0-46a9-9efa-e17c5f68daba&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=72ecf2398c75b24dc80cd86dc96d711a&srepoch=1766441630&from=searchresults,https://www.booking.com/hotel/ca/banff-international.en-gb.html?aid=304142&label=mkt123sc-44d7f539-d4d0-46a9-9efa-e17c5f68daba&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=72ecf2398c75b24dc80cd86dc96d711a&srepoch=1766441630&from=searchresults,booking.com,0,0,,,,,,2025-12-22T22:14:06Z,Data sourced from Booking.com listing
canada-banff-banff-park-lodge,Banff Park Lodge,Banff,Alberta,Canada,Upper-Midscale,8,51.1768,-115.5698,https://www.banffparklodge.com/,https://www.banffparklodge.com/parking-instructions/,,official,0,0,,,,,,2025-12-22T22:14:24Z,No taxes or fees found on policy page
canada-banff-the-rundlestone-lodge,The Rundlestone Lodge,Banff,Alberta,Canada,Upper-Midscale,9,51.1695,-115.5642,https://www.rundlestone.com/,https://www.booking.com/hotel/ca/the-rundlestone-lodge.en-gb.html?aid=304142&label=mkt123sc-d9910bd3-936a-43c9-94e4-082f3c401a61&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=8b5d3cab956e38614a9034a92db621e4&srepoch=1766441752&from=searchresults,https://www.booking.com/hotel/ca/the-rundlestone-lodge.en-gb.html?aid=304142&label=mkt123sc-d9910bd3-936a-43c9-94e4-082f3c401a61&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=8b5d3cab956e38614a9034a92db621e4&srepoch=1766441752&from=searchresults,booking.com,0,0,,,,,,2025-12-22T22:16:09Z,Data sourced from Booking.com listing
canada-banff-banff-caribou-lodge-spa,Banff Caribou Lodge & Spa,Banff,Alberta,Canada,Midscale,10,51.1756,-115.5689,https://www.bestofbanff.com/banff-caribou-lodge/,https://www.booking.com/hotel/ca/banff-caribou-lodge-and-spa.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCJnNlYXJjaF9iYW5mZiBjYXJpYm91IGxvZGdlICYgc3BhIGJhbmZmSDNYBGgniAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAL_hqfKBsACAdICJGVjYzhhOGM2LTRmYjUtNGJiNy05N2I1LTdlNjJmNTNhN2M4M9gCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=f4609cbfa180013f&srepoch=1766441858&from=searchresults,https://www.booking.com/hotel/ca/banff-caribou-lodge-and-spa.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCJnNlYXJjaF9iYW5mZiBjYXJpYm91IGxvZGdlICYgc3BhIGJhbmZmSDNYBGgniAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAL_hqfKBsACAdICJGVjYzhhOGM2LTRmYjUtNGJiNy05N2I1LTdlNjJmNTNhN2M4M9gCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=f4609cbfa180013f&srepoch=1766441858&from=searchresults,booking.com,0,0,,,,,,2025-12-22T22:17:54Z,Data sourced from Booking.com listing
