id,name,town,region,country,marketSegment,tripadvisorRank,latitude,longitude,officialWebsite,policyPage,bookingCom,dataSource,taxCount,feeCount,resortFee,parkingFee,childrenFreeAge,adultCharge,damageDeposit,scrapedAt,scrapingNotes
france-chamonix-hotel-mont-blanc,Hotel Mont-Blanc,Chamonix,Auvergne-Rhone-Alpes,France,Luxury,1,45.9237,6.8694,https://www.hotelmontblancchamonix.com/,https://www.booking.com/hotel/ch/auberge-du-mont-blanc.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCIHNlYXJjaF9ob3RlbCBtb250LWJsYW5jIGNoYW1vbml4SDNYBGgniAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALuuKjKBsACAdICJGNkMDkwMjQyLTgyYjYtNDM3Mi1hYTdmLWNjNThmODcyZGEzONgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=797d20773bec0289&srepoch=1766464626&from=searchresults,https://www.booking.com/hotel/ch/auberge-du-mont-blanc.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCIHNlYXJjaF9ob3RlbCBtb250LWJsYW5jIGNoYW1vbml4SDNYBGgniAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALuuKjKBsACAdICJGNkMDkwMjQyLTgyYjYtNDM3Mi1hYTdmLWNjNThmODcyZGEzONgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=797d20773bec0289&srepoch=1766464626&from=searchresults,booking.com,0,0,,,,,,2025-12-23T04:37:23Z,Data sourced from Booking.com listing
france-chamonix-grand-hotel-des-alpes,Grand Hotel des Alpes,Chamonix,Auvergne-Rhone-Alpes,France,Luxury,2,45.9245,6.8712,https://www.grandhoteldesalpes.com/,https://grandhoteldesalpes.com/en/services/,,official,0,0,,,,,,2025-12-23T04:37:52Z,No taxes or fees found on policy page
france-chamonix-le-hameau-albert-1er,Le Hameau Albert 1er,Chamonix,Auvergne-Rhone-Alpes,France,Luxury,3,45.9212,6.8634,https://www.hameaualbert.fr/,https://www.hameaualbert.fr/en/actualites/fetes-fin-annee-reveillon-noel-nouvel-an-chamonix,,official,0,0,,,,,,2025-12-23T04:39:06Z,No taxes or fees found on policy page
france-chamonix-hotel-lheliopic,Hotel L'Heliopic,Chamonix,Auvergne-Rhone-Alpes,France,Upscale,4,45.9234,6.8723,https://www.heliopic-hotel-spa.com/,https://www.heliopic.com/faq,,official,0,0,,,,,,2025-12-23T04:39:43Z,No taxes or fees found on policy page
france-chamonix-le-refuge-des-aiglons,Le Refuge des Aiglons,Chamonix,Auvergne-Rhone-Alpes,France,Upscale,5,45.9189,6.8612,https://www.aiglons.com/,https://aiglons.com/fr/services,,official,0,0,,,,,,2025-12-23T04:40:08Z,No taxes or fees found on policy page
france-chamonix-hotel-le-morgane,Hotel Le Morgane,Chamonix,Auvergne-Rhone-Alpes,France,Upscale,6,45.9256,6.8701,https://www.morgane-hotel-chamonix.com/,https://morgane-hotel-chamonix.com/fr/services/,,official,0,0,,,,,,2025-12-23T04:40:28Z,No taxes or fees found on policy page
france-chamonix-les-aiglons-resort-spa,Les Aiglons Resort & Spa,Chamonix,Auvergne-Rhone-Alpes,France,Upscale,8,45.9178,6.8601,https://www.aiglons.com/,https://aiglons.com/fr/services,,official,0,0,,,,,,2025-12-23T04:42:16Z,No taxes or fees found on policy page
france-chamonix-mercure-chamonix-centre,Mercure Chamonix Centre,Chamonix,Auvergne-Rhone-Alpes,France,Midscale,9,45.9245,6.8678,https://www.mercure-chamonix.com/,https://www.booking.com/hotel/fr/cosmiques.en-gb.html?aid=304142&label=mkt123sc-a304e5be-a9d1-4eec-beec-59427737b776&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=79ce6b8e2419a3ae31b5aed800b2e22a&srepoch=1766465013&from=searchresults,https://www.booking.com/hotel/fr/cosmiques.en-gb.html?aid=304142&label=mkt123sc-a304e5be-a9d1-4eec-beec-59427737b776&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=79ce6b8e2419a3ae31b5aed800b2e22a&srepoch=1766465013&from=searchresults,booking.com,0,0,,,,,,2025-12-23T04:43:52Z,Data sourced from Booking.com listing
france-chamonix-hotel-park-hôtel-suisse,Hotel Park Hôtel Suisse,Chamonix,Auvergne-Rhone-Alpes,France,Upper-Midscale,10,45.9234,6.8667,https://www.chamonix-park-hotel.com/,https://www.booking.com/hotel/fr/park-suisse.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCKHNlYXJjaF9ob3RlbCBwYXJrIGjDtHRlbCBzdWlzc2UgY2hhbW9uaXhIM1gEaCeIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Atu8qMoGwAIB0gIkNDM5ZWFhNWYtNjQxNS00NTBlLWE1ZDAtM2U5MWI0MWMxYjI42AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=a7f9216da4630237&srepoch=1766465119&from=searchresults,https://www.booking.com/hotel/fr/park-suisse.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCKHNlYXJjaF9ob3RlbCBwYXJrIGjDtHRlbCBzdWlzc2UgY2hhbW9uaXhIM1gEaCeIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Atu8qMoGwAIB0gIkNDM5ZWFhNWYtNjQxNS00NTBlLWE1ZDAtM2U5MWI0MWMxYjI42AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=a7f9216da4630237&srepoch=1766465119&from=searchresults,booking.com,0,0,,,,,,2025-12-23T04:45:36Z,Data sourced from Booking.com listing
france-chamonix-hôtel-gourmets-et-italy,Hôtel Gourmets et Italy,Chamonix,Auvergne-Rhone-Alpes,France,Upper-Midscale,11,45.9256,6.8689,https://www.hotelgourmets-chamonix.com/,https://www.hotelgourmets-chamonix.com/services/,,official,0,0,,,,,,2025-12-23T04:46:05Z,No taxes or fees found on policy page
