id,name,town,region,country,marketSegment,tripadvisorRank,latitude,longitude,officialWebsite,policyPage,bookingCom,dataSource,taxCount,feeCount,resortFee,parkingFee,childrenFreeAge,adultCharge,damageDeposit,scrapedAt,scrapingNotes
switzerland-st-moritz-kulm-hotel-st-moritz,Kulm Hotel St. Moritz,St. Moritz,Graubunden,Switzerland,Luxury,2,46.4978,9.8412,https://www.kulm.com/,https://kulm.com/terms-conditions/,,official,0,0,,,,,,2025-12-21T01:10:37Z,No taxes or fees found on policy page
switzerland-st-moritz-suvretta-house,Suvretta House,St. Moritz,Graubunden,Switzerland,Luxury,3,46.4823,9.8234,https://www.suvrettahouse.ch/,https://suvrettahouse.ch/services,,official,0,0,,,,,,2025-12-21T01:11:05Z,No taxes or fees found on policy page
switzerland-st-moritz-carlton-hotel-st-moritz,Carlton Hotel St. Moritz,St. Moritz,Graubunden,Switzerland,Luxury,4,46.4967,9.8401,https://www.carlton-stmoritz.ch/,https://tschuggencollection.ch/de/hotel/carlton-hotel,,official,0,0,,,,,,2025-12-21T01:11:08Z,No taxes or fees found on policy page
switzerland-st-moritz-kempinski-grand-hotel-des-bains,Kempinski Grand Hotel des Bains,St. Moritz,Graubunden,Switzerland,Luxury,5,46.4956,9.8389,https://www.kempinski.com/st-moritz/,https://www.kempinski.com/en/,,official,0,0,,,,,,2025-12-21T01:11:11Z,No taxes or fees found on policy page
switzerland-st-moritz-grace-st-moritz,Grace St. Moritz,St. Moritz,Graubunden,Switzerland,Luxury,7,46.4945,9.8378,https://www.gracehotels.com/stmoritz/,https://www.gracehotels.com/about,,official,0,0,,,,,,2025-12-21T01:13:12Z,No taxes or fees found on policy page
switzerland-st-moritz-nira-alpina,Nira Alpina,St. Moritz,Graubunden,Switzerland,Upscale,9,46.4289,9.7534,https://www.niraalpina.com/,https://www.niraalpina.com,,official,0,0,,,,,,2025-12-21T01:14:46Z,No taxes or fees found on policy page
switzerland-st-moritz-hotel-reine-victoria,Hotel Reine Victoria,St. Moritz,Graubunden,Switzerland,Upscale,11,46.5012,9.8445,https://www.hotel-reine-victoria.ch/,https://www.hotel-reine-victoria.ch/ueber-uns/,,official,0,0,,,,,,2025-12-21T01:16:49Z,No taxes or fees found on policy page
switzerland-st-moritz-hotel-steffani,Hotel Steffani,St. Moritz,Graubunden,Switzerland,Upper-Midscale,12,46.4989,9.8412,https://www.steffani.ch/,https://steffani.ch/znpb_template_mngr/parking/,,official,0,0,,,,,,2025-12-21T01:17:05Z,No taxes or fees found on policy page
switzerland-st-moritz-crystal-hotel,Crystal Hotel,St. Moritz,Graubunden,Switzerland,Upper-Midscale,13,46.4978,9.8401,https://www.crystalhotel.ch/,https://www.crystalhotel.ch/en/corporate/privacy-cookie-policy/,,official,0,0,,,,,,2025-12-21T01:18:20Z,No taxes or fees found on policy page
switzerland-st-moritz-hotel-laudinella,Hotel Laudinella,St. Moritz,Graubunden,Switzerland,Midscale,14,46.4934,9.8367,https://www.laudinella.ch/,https://www.laudinella.ch/information/,,official,0,0,,,,,,2025-12-21T01:19:14Z,No taxes or fees found on policy page
